date,sentiment_mean,sentiment_std,sentiment_min,sentiment_max,news_count,pct_positive,pct_negative,sentiment_anomaly
2016-06-19,0.020102010832892522,0.3732733005264071,-0.651812732219696,0.8327308297157288,9,0.1111111111111111,0.1111111111111111,0.0
2016-06-20,-0.0720911979675293,0.6404473364168493,-0.9395276308059692,0.9145687222480774,20,0.25,0.35,0.0
2016-06-21,-0.2973323971033096,0.4861826031905957,-0.9421420097351074,0.7596052289009094,20,0.05,0.4,0.0
2016-06-22,0.03859334190686544,0.5301795473261351,-0.9581798911094666,0.8791208267211914,24,0.25,0.20833333333333334,0.0
2016-06-23,-0.29792372733354566,0.5575122780812467,-0.9400236010551453,0.9108192324638367,20,0.1,0.5,-1.0616930109562834
2016-06-24,-0.3022550914598548,0.6314365405823493,-0.9639657139778137,0.9216666221618652,23,0.13043478260869565,0.4782608695652174,-0.9077585814667365
2016-06-25,-0.4673832654953003,0.6609797528896787,-0.9347665309906006,0.0,2,0.0,0.5,-1.404041687035405
2016-07-21,-0.32268302336983057,0.4264211117931276,-0.9743003249168396,0.0,23,0.0,0.391304347826087,-0.5987540856623125
2016-07-22,-0.18307151079177855,0.5641005432525591,-0.9722939729690552,0.9456337094306946,25,0.12,0.32,0.1525125044090388
2016-07-23,-0.16764353381262886,0.34691285490758667,-0.9512474536895752,0.0,9,0.0,0.2222222222222222,0.2303411969226235
2016-07-24,-0.11986277500788371,0.48353779746504416,-0.9599966406822205,0.9001015424728394,12,0.08333333333333333,0.25,0.4949724000141752
2016-07-25,-0.3839419589323156,0.5204947001476338,-0.9668686985969543,0.6251872777938843,17,0.058823529411764705,0.47058823529411764,-1.0767665144004372
2016-07-26,-0.25861734032630923,0.6056699170951022,-0.9729138016700745,0.7023026943206787,25,0.2,0.4,-0.2762665233402575
2016-07-27,-0.082515815893809,0.6831181042402292,-0.8031437993049622,0.5555963516235352,3,0.3333333333333333,0.3333333333333333,0.8243820129980136
2016-11-26,0.014349639415740967,0.6252998400029781,-0.847996711730957,0.9197449088096619,5,0.2,0.2,1.3218998058706677
2016-11-27,0.1631094694137573,0.5411895906990725,-0.8818784952163696,0.9360536932945251,10,0.3,0.1,1.9019561105435836
2016-11-28,-0.15374794744309925,0.5515912449248274,-0.9389543533325195,0.8018799424171448,21,0.19047619047619047,0.3333333333333333,0.089901154654903
2016-11-29,-0.042174852320126126,0.6384493272104242,-0.9630394577980042,0.9458495378494263,28,0.25,0.32142857142857145,0.7162372991352792
2016-11-30,-0.2798271834850311,0.45674016411783946,-0.9739718437194824,0.45569634437561035,20,0.05,0.35,-0.677834605232234
2016-12-01,-0.18649263273585925,0.6277793227653904,-0.9607753157615662,0.8964107036590576,22,0.18181818181818182,0.4090909090909091,-0.10861084592348313
2016-12-02,-0.29946080843607586,0.518681335086934,-0.8983824253082275,0.0,3,0.0,0.3333333333333333,-0.7313466585139421
2016-12-30,-0.25743151903152467,0.5972900320675025,-0.9370879530906677,0.9091670513153076,10,0.1,0.4,-0.40751808488331437
2016-12-31,-0.6510869979858398,0.39017691225681955,-0.9450891017913818,0.0,5,0.0,0.8,-2.3784478925108856
2017-01-01,0.08445713736794212,0.44874116566716254,-0.7829592227935791,0.9386778473854065,11,0.18181818181818182,0.09090909090909091,1.5635789941274203
2017-01-02,-0.46160926421483356,0.7260759027772283,-0.9738219976425171,0.81231689453125,6,0.16666666666666666,0.6666666666666666,-1.2460539841049083
2017-01-03,0.09850006944992963,0.568501156050941,-0.9201201796531677,0.9092056751251221,17,0.29411764705882354,0.17647058823529413,1.4337233008535817
2017-01-04,-0.2686507727788842,0.5873576750168065,-0.964840829372406,0.8697488903999329,23,0.13043478260869565,0.4782608695652174,-0.40846535857665495
2017-01-26,-0.07927434206008911,0.5774602073750219,-0.9709839224815369,0.9366945028305054,25,0.16,0.28,0.4912206599177271
2017-01-27,-0.20156214303440517,0.44673484738065716,-0.9692471027374268,0.6438987851142883,18,0.05555555555555555,0.2777777777777778,-0.12666990571823594
2017-01-28,-0.29755781032145023,0.40983994604746593,-0.9356653094291687,0.0,16,0.0,0.375,-0.5768320406547589
2017-01-29,-0.2801974920126108,0.5272837235811927,-0.9516635537147522,0.7195711731910706,13,0.07692307692307693,0.38461538461538464,-0.4476285574622077
2017-01-30,-0.31682439472364343,0.5485617439680237,-0.9626167416572571,0.8501269221305847,23,0.08695652173913043,0.4782608695652174,-0.6582278559975818
2017-01-31,-0.25140738771075294,0.5943754456370882,-0.9490301012992859,0.9492884874343872,21,0.14285714285714285,0.42857142857142855,-0.32647533297078296
2017-02-01,-0.7362970113754272,0.0,-0.7362970113754272,-0.7362970113754272,1,0.0,1.0,-2.252562863875146
2017-04-15,-0.11842154081051166,0.4571085405148147,-0.9518362283706665,0.8554261922836304,13,0.07692307692307693,0.23076923076923078,0.4841602098546861
2017-04-16,-0.0741453617811203,0.4994636659060437,-0.8716311454772949,0.7704583406448364,12,0.16666666666666666,0.25,0.7916803168229111
2017-04-17,-0.3759481906890869,0.44604678241356593,-0.8795632719993591,0.0,9,0.0,0.4444444444444444,-0.6038271020757354
2017-04-18,-0.1979757407132317,0.5807691110198047,-0.9485470652580261,0.920450747013092,17,0.11764705882352941,0.35294117647058826,0.2925802113197199
2017-04-19,-0.2465659221013387,0.6353874372358326,-0.9668094515800476,0.9049731492996216,15,0.2,0.4666666666666667,0.04583393501702117
2017-04-20,-0.30687297880649567,0.628061240093515,-0.9521785974502563,0.8972834944725037,12,0.16666666666666666,0.5,-0.22122346080951438
2017-04-21,0.0,0.0,0.0,0.0,1,0.0,0.0,1.1693446690462932
2017-05-07,-0.15222390492757162,0.6929175139951637,-0.9593814611434937,0.9225282073020935,6,0.16666666666666666,0.3333333333333333,0.42155233054403624
2017-05-08,-0.4681197170700346,0.5333278144359027,-0.9675873517990112,0.7573607563972473,14,0.07142857142857142,0.6428571428571429,-1.1956370738772253
2017-05-09,-0.1744692045099595,0.532238869168087,-0.9661924839019775,0.8494374752044678,17,0.11764705882352941,0.29411764705882354,0.38777130587118
2017-05-10,-0.3512667471712286,0.4835879907592481,-0.9679660797119141,0.8469849228858948,22,0.045454545454545456,0.5,-0.625785510476358
2017-05-11,-0.4912000228376949,0.6165034551505764,-0.970506489276886,0.7258837819099426,17,0.17647058823529413,0.6470588235294118,-1.3249303109632649
2017-05-12,-0.16674087643623353,0.6148741830228744,-0.9258894920349121,0.9420848488807678,20,0.2,0.4,0.5778031403530964
2017-06-22,-0.22890150249004365,0.4544165313536751,-0.973770797252655,0.5981706380844116,20,0.05,0.3,0.2625305060492269
2017-06-23,-0.07206166783968608,0.5564796149233397,-0.9665753841400146,0.8848643898963928,12,0.16666666666666666,0.25,1.1441824385824673
2017-06-24,-0.29066879099065607,0.4724379938003747,-0.9371399879455566,0.5238766670227051,11,0.09090909090909091,0.45454545454545453,-0.15190480054119415
2017-06-25,-0.10053679347038269,0.28436099368663603,-0.8042943477630615,0.0,8,0.0,0.125,0.9000593036795352
2017-06-26,0.15711697190999985,0.5825521229061966,-0.9584664106369019,0.8054268956184387,8,0.375,0.125,1.9966732871920592
2017-06-27,-0.2805416136980057,0.5150443178300212,-0.960364580154419,0.7640145421028137,16,0.0625,0.375,-0.2393619825686216
2017-06-28,0.0,0.0,0.0,0.0,2,0.0,0.0,1.2144816838110475
2017-07-27,-0.22080511706215994,0.6138759094601015,-0.9555932879447937,0.8611693978309631,14,0.21428571428571427,0.5,-0.11606427237647476
2017-07-28,-0.11853350533379449,0.5784213368064901,-0.9670881628990173,0.9216092228889465,18,0.16666666666666666,0.2777777777777778,0.5373591991426357
2017-07-29,-0.34844033420085907,0.48103614397876215,-0.9543708562850952,0.0,8,0.0,0.375,-0.9197674828294675
2017-07-30,-0.11782871759854831,0.4555960662439013,-0.9720388650894165,0.8517600893974304,13,0.07692307692307693,0.23076923076923078,0.5090158673109814
2017-07-31,-0.23640013933181764,0.49114512177036684,-0.9389358758926392,0.9124751687049866,15,0.06666666666666667,0.4,-0.2385513994649951
2017-08-01,0.03304450652178596,0.6719088598015167,-0.961359441280365,0.9361582398414612,17,0.35294117647058826,0.35294117647058826,1.2995084784311386
2017-08-02,0.9207717180252075,0.0,0.9207717180252075,0.9207717180252075,1,1.0,0.0,3.57631741754838
2017-08-20,-0.0612938574382237,0.5515458993119342,-0.706434428691864,0.9492431879043579,7,0.14285714285714285,0.2857142857142857,0.23516618370470657
2017-08-21,-0.025534405158116266,0.48822028763441366,-0.9389288425445557,0.9401081800460815,13,0.15384615384615385,0.15384615384615385,0.2912815226182217
2017-08-22,-0.403385149108039,0.4005158413973727,-0.9580672383308411,0.0,9,0.0,0.5555555555555556,-0.9671813345601452
2017-08-23,-0.3678099723423229,0.48723724758988624,-0.9719709753990173,0.8457942605018616,17,0.058823529411764705,0.5882352941176471,-0.8408337152302177
2017-08-24,-0.1990129550298055,0.8057548324901651,-0.9694035053253174,0.9518781304359436,6,0.3333333333333333,0.5,-0.3294739489298183
2017-08-25,-0.17880324380738394,0.4936347988258309,-0.937005341053009,0.4584733545780182,7,0.14285714285714285,0.2857142857142857,-0.25531356645735614
2017-09-22,-0.2511702288280834,0.6441964797475386,-0.9631267786026001,0.7938016057014465,11,0.18181818181818182,0.45454545454545453,-0.5076111909422975
2017-09-23,-0.3443170636892319,0.6002116601950463,-0.9685776829719543,0.677729070186615,8,0.125,0.5,-0.7768237256891323
2017-09-24,-0.27428077906370163,0.38481887153292454,-0.857108473777771,0.0,8,0.0,0.375,-0.5361913730381613
2017-09-25,-0.2910059311173179,0.670008636412217,-0.9715366363525391,0.8981018662452698,11,0.18181818181818182,0.5454545454545454,-0.5566047945606424
2017-09-26,-0.47936660713619655,0.4616010688898416,-0.9654424786567688,0.5670468211174011,18,0.05555555555555555,0.6666666666666666,-1.092656408570159
2017-09-27,-0.2916533390680949,0.5297535096575816,-0.9601712226867676,0.8126082420349121,15,0.06666666666666667,0.4,-0.4436064520729755
2017-12-07,-0.13625002279877663,0.5363334724653162,-0.9695326685905457,0.8328274488449097,16,0.125,0.25,0.11578899220333373
2017-12-08,-0.11197436451911927,0.6665175809694132,-0.8686153292655945,0.9311667084693909,10,0.3,0.4,0.1811663224443643
2017-12-09,-0.4891174495220184,0.5265594982644302,-0.9373934864997864,0.6346495151519775,10,0.1,0.7,-1.0325589077062132
2017-12-10,-0.16490303352475166,0.33358090821832637,-0.9109100699424744,0.0,8,0.0,0.25,0.029271448545204696
